Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:26rdOwwjC2UnweK3xeS58u,15321bf5a9a54ec9b64d685a06b67a45,2022-02-11T23:36:04Z,5,Is this tour even happening?? Yep. It’s GDFR,382bd9c19f5d4b13800d727564e76d6e
spotify:track:27NovPIUIRrOZoCHxABJwK,15321bf5a9a54ec9b64d685a06b67a45,2022-02-11T23:36:04Z,2,Its a jam,382bd9c19f5d4b13800d727564e76d6e
spotify:track:43DeSV93pJPT4lCZaWZ6b1,15321bf5a9a54ec9b64d685a06b67a45,2022-02-11T23:36:04Z,1,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:7cv28LXcjAC3GsXbUvXKbX,15321bf5a9a54ec9b64d685a06b67a45,2022-02-11T23:36:04Z,2,Tour mantra,382bd9c19f5d4b13800d727564e76d6e
spotify:track:26rdOwwjC2UnweK3xeS58u,8c2aca8095eb4cf8991a47687d16329d,2022-02-12T00:03:58Z,1,"Considering that my calendar still says “tour probably?” today, this one feels right.",382bd9c19f5d4b13800d727564e76d6e
spotify:track:2EPr9Wx7e1cpGEbNAtuN7x,8c2aca8095eb4cf8991a47687d16329d,2022-02-12T00:03:58Z,1,"As a non Californian, this is what I always imagined CA sounded like.",382bd9c19f5d4b13800d727564e76d6e
spotify:track:43DeSV93pJPT4lCZaWZ6b1,8c2aca8095eb4cf8991a47687d16329d,2022-02-12T00:03:58Z,1,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:4xh7W7tlNMIczFhupCPniY,8c2aca8095eb4cf8991a47687d16329d,2022-02-12T00:03:58Z,1,I can’t not vote for FM when I see it. I CAN’T NOT.,382bd9c19f5d4b13800d727564e76d6e
spotify:track:5IKLwqBQG6KU6MP2zP80Nu,8c2aca8095eb4cf8991a47687d16329d,2022-02-12T00:03:58Z,2,Birdcage vibes. Here for it.,382bd9c19f5d4b13800d727564e76d6e
spotify:track:6tlMa6UVin2L6yEe2rxb0K,8c2aca8095eb4cf8991a47687d16329d,2022-02-12T00:03:58Z,1,It’s a duck blur.,382bd9c19f5d4b13800d727564e76d6e
spotify:track:08mG3Y1vljYA6bvDt4Wqkj,36d943fd539042239fb5646d50d0a9ad,2022-02-12T00:16:37Z,2,"I will forever associate this song with the scene in Iron Man where they're riding in the Hummer, which is basically like a small bus, so yeah, 2 pts.  Song smells like bus stank for sure.",382bd9c19f5d4b13800d727564e76d6e
spotify:track:27NovPIUIRrOZoCHxABJwK,36d943fd539042239fb5646d50d0a9ad,2022-02-12T00:16:37Z,0,"Lil Nas X is amazing and this song has a quintillion streams on Spotify but I'm not sure I get ""stanky bus"" vibes.",382bd9c19f5d4b13800d727564e76d6e
spotify:track:2EPr9Wx7e1cpGEbNAtuN7x,36d943fd539042239fb5646d50d0a9ad,2022-02-12T00:16:37Z,0,"Great song and if you could ride a surf board behind the bus and get pulled along the entire time, I'd give points.",382bd9c19f5d4b13800d727564e76d6e
spotify:track:43DeSV93pJPT4lCZaWZ6b1,36d943fd539042239fb5646d50d0a9ad,2022-02-12T00:16:37Z,0,What about the girls being back in town?  WHAT ABOUT THE GIRLS????,382bd9c19f5d4b13800d727564e76d6e
spotify:track:4xh7W7tlNMIczFhupCPniY,36d943fd539042239fb5646d50d0a9ad,2022-02-12T00:16:37Z,3,"While you literally can't go your own way on the bus, I assume this is about putting in AirPods the entire time and listening to this playlist instead of engaging socially.",382bd9c19f5d4b13800d727564e76d6e
spotify:track:5foxQ24C0x7W0B2OD46AJg,36d943fd539042239fb5646d50d0a9ad,2022-02-12T00:16:37Z,0,I like the absurdity vibes.,382bd9c19f5d4b13800d727564e76d6e
spotify:track:5IKLwqBQG6KU6MP2zP80Nu,36d943fd539042239fb5646d50d0a9ad,2022-02-12T00:16:37Z,0,"If you could have a wedding on the stank bus, then yes.",382bd9c19f5d4b13800d727564e76d6e
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,36d943fd539042239fb5646d50d0a9ad,2022-02-12T00:16:37Z,0,"If this had been Party in the CIA by Weird Al, I would have given 5pts.  So close.",382bd9c19f5d4b13800d727564e76d6e
spotify:track:6tlMa6UVin2L6yEe2rxb0K,36d943fd539042239fb5646d50d0a9ad,2022-02-12T00:16:37Z,0,Diving into the stank like it's a tower of gold.,382bd9c19f5d4b13800d727564e76d6e
spotify:track:7cv28LXcjAC3GsXbUvXKbX,36d943fd539042239fb5646d50d0a9ad,2022-02-12T00:16:37Z,0,"You will survive the stank, I promise.",382bd9c19f5d4b13800d727564e76d6e
spotify:track:08mG3Y1vljYA6bvDt4Wqkj,101d8406f2d945a4a43d8a0493f577c5,2022-02-12T00:16:47Z,2,Too bad we don't wear concert black,382bd9c19f5d4b13800d727564e76d6e
spotify:track:26rdOwwjC2UnweK3xeS58u,101d8406f2d945a4a43d8a0493f577c5,2022-02-12T00:16:47Z,2,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:4xh7W7tlNMIczFhupCPniY,101d8406f2d945a4a43d8a0493f577c5,2022-02-12T00:16:47Z,0,Too far your own way and the bus is gonna leave without you,382bd9c19f5d4b13800d727564e76d6e
spotify:track:5foxQ24C0x7W0B2OD46AJg,101d8406f2d945a4a43d8a0493f577c5,2022-02-12T00:16:47Z,1,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:5IKLwqBQG6KU6MP2zP80Nu,101d8406f2d945a4a43d8a0493f577c5,2022-02-12T00:16:47Z,2,Family with all the good and bad that comes with it... Lookin at you day 25,382bd9c19f5d4b13800d727564e76d6e
spotify:track:08mG3Y1vljYA6bvDt4Wqkj,52c02045cbf0469e8b3e22b9c0f2b985,2022-02-12T01:40:58Z,2,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:27NovPIUIRrOZoCHxABJwK,52c02045cbf0469e8b3e22b9c0f2b985,2022-02-12T01:40:58Z,2,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:5foxQ24C0x7W0B2OD46AJg,52c02045cbf0469e8b3e22b9c0f2b985,2022-02-12T01:40:58Z,4,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:08mG3Y1vljYA6bvDt4Wqkj,327fffd01d3d4158866e06be5aef3b0d,2022-02-12T03:11:44Z,5,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:43DeSV93pJPT4lCZaWZ6b1,327fffd01d3d4158866e06be5aef3b0d,2022-02-12T03:11:44Z,4,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:08mG3Y1vljYA6bvDt4Wqkj,97f20b156619422c81ac0dcf49c9b725,2022-02-12T03:17:05Z,2,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:43DeSV93pJPT4lCZaWZ6b1,97f20b156619422c81ac0dcf49c9b725,2022-02-12T03:17:05Z,2,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:4xh7W7tlNMIczFhupCPniY,97f20b156619422c81ac0dcf49c9b725,2022-02-12T03:17:05Z,5,,382bd9c19f5d4b13800d727564e76d6e
spotify:track:5IKLwqBQG6KU6MP2zP80Nu,97f20b156619422c81ac0dcf49c9b725,2022-02-12T03:17:05Z,1,,382bd9c19f5d4b13800d727564e76d6e
