ID,Created,Name,Description,Playlist URL
cfed0e4391784b5f858b1e81a8ff72b5,2023-02-04T14:10:28Z,Free Parking,Ay song you want!,https://open.spotify.com/playlist/2CFSrv74Mztbqte6rzqFxu
950375eeb30a4c43ad8a2d22f92dad0f,2023-02-04T14:10:29Z,Awesome Obscurity,Songs that aren't well-known but should be,https://open.spotify.com/playlist/5vPIf3D7PhyU2TXHty8PmK
dc752ade95c8419fa9c534ae90c5ada0,2023-02-04T14:10:30Z,Songs introduced to you by a friend,Credit their name too!,https://open.spotify.com/playlist/2ioKSyq3OF4YAUbh2LV4cC
fb908f5634e6402095057ed8695471d1,2023-02-04T14:10:30Z,Favorite song you discovered in the last 6 months,What have you been listening to recently,https://open.spotify.com/playlist/7Ims8mZ5iSnV3qOV8mlrNj
e2caab93a07e4524afbeddb0033056ef,2023-02-04T14:10:31Z,Instrumentals,Songs with no vocals,https://open.spotify.com/playlist/7uZ8u6oI654PGRiaWc1Sub
ce3a9f2ac82045ad8fd8fa623bbadaa8,2023-02-04T14:10:32Z,Good Morning,Songs to start your day with,https://open.spotify.com/playlist/4GzFuIU0uPF59WcVM3VAh2
082336af74364ff5a980d0739c3b51a0,2023-02-04T14:10:33Z,House Party,Songs to play at your next house party,https://open.spotify.com/playlist/5w2Xn8WnSW6NX1nxsqIv6v
e83456522d0a4de19df4fc7aaf067c74,2023-02-04T14:10:33Z,Cute Songs,"I'll let you make a judgment call on whats ""cute""",https://open.spotify.com/playlist/0jUXc7A1O2GScC0rgwfa3B
5776f27e6b5643f083994548ad63fc44,2023-02-04T14:10:34Z,Indie hits from the 2000s,My personal reparation for the Boz Skaggs round.,https://open.spotify.com/playlist/6XuYqbBskclkLAZ73OHXeA
6069b697579f48da852893f105ee30df,2023-02-04T14:10:35Z,Guilty Pleasures,"Songs you genuinely love, but you're a little embarassed to like",https://open.spotify.com/playlist/23UygWuqRu8e2uaOOH3H4c
dd07384ebada4b61ba1fb545e13ae3bf,2023-02-04T14:10:36Z,Chill/background music ,Music you listen to while doing something else,https://open.spotify.com/playlist/5kERDOIs3MPGjZmFRxo34W
129e2285cf1d4da0aa1fef8aa2f5938a,2023-02-04T14:10:36Z,Wild draw 4,Free parking pt.2 for those that missed round 1,https://open.spotify.com/playlist/2pbExW5jEYDFu1EKi3Kja9
