Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:12GEv3kB19M52HvybQ6maU,c3cad46ca242472f8528edaa6e2106a5,2023-02-05T15:30:36Z,2,I should give this album a listen. I really liked this head I hold,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:2YhCF84yVHcpwo9rkS5DJR,c3cad46ca242472f8528edaa6e2106a5,2023-02-05T15:30:36Z,2,Long live synth,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:3GVhCuS4BRxCTvVj4Cmc8w,c3cad46ca242472f8528edaa6e2106a5,2023-02-05T15:30:36Z,2,Love me some 70s soft rock ♥️,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:40c4Zo0r2HH9aKDgEsbsVA,c3cad46ca242472f8528edaa6e2106a5,2023-02-05T15:30:36Z,2,I had to listen to milk and cereal after this. Not enough love for g. love,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:5DQtZx4cWbuNvHfsTQHcSL,c3cad46ca242472f8528edaa6e2106a5,2023-02-05T15:30:36Z,1,Haven't heard much from them but this is alright. I also like their kevin devine cover,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:5IQa3C87mUpZawAFAu5mdW,c3cad46ca242472f8528edaa6e2106a5,2023-02-05T15:30:36Z,1,Good stuff. Need to give their latest release a listen,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:6Mq51KY6EW0bQgI0QttAsS,c3cad46ca242472f8528edaa6e2106a5,2023-02-05T15:30:36Z,2,Ok texas 👍,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:0F58GE2TtHBim5o4ZTQUwK,609cefee0e9e462d9473421cd8da986a,2023-02-05T20:23:08Z,2,"Tyler's always an easy sell, hadn't given this track a proper listen- nice pick ",cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:12GEv3kB19M52HvybQ6maU,609cefee0e9e462d9473421cd8da986a,2023-02-05T20:23:08Z,1,Charming,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:2YhCF84yVHcpwo9rkS5DJR,609cefee0e9e462d9473421cd8da986a,2023-02-05T20:23:08Z,6,Genuinely gave me Discovery -era vibes.,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:40c4Zo0r2HH9aKDgEsbsVA,609cefee0e9e462d9473421cd8da986a,2023-02-05T20:23:08Z,1,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:5IQa3C87mUpZawAFAu5mdW,609cefee0e9e462d9473421cd8da986a,2023-02-05T20:23:08Z,2,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:0F58GE2TtHBim5o4ZTQUwK,7d0331ded40f46068242eb7a34e70599,2023-02-06T02:28:33Z,2,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:12GEv3kB19M52HvybQ6maU,7d0331ded40f46068242eb7a34e70599,2023-02-06T02:28:33Z,1,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:2YhCF84yVHcpwo9rkS5DJR,7d0331ded40f46068242eb7a34e70599,2023-02-06T02:28:33Z,4,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:40c4Zo0r2HH9aKDgEsbsVA,7d0331ded40f46068242eb7a34e70599,2023-02-06T02:28:33Z,2,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:5DQtZx4cWbuNvHfsTQHcSL,7d0331ded40f46068242eb7a34e70599,2023-02-06T02:28:33Z,3,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:0F58GE2TtHBim5o4ZTQUwK,711ef707eda94cefbc41e8131328282b,2023-02-06T04:54:25Z,2,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:12GEv3kB19M52HvybQ6maU,711ef707eda94cefbc41e8131328282b,2023-02-06T04:54:25Z,2,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:3GVhCuS4BRxCTvVj4Cmc8w,711ef707eda94cefbc41e8131328282b,2023-02-06T04:54:25Z,1,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:40c4Zo0r2HH9aKDgEsbsVA,711ef707eda94cefbc41e8131328282b,2023-02-06T04:54:25Z,1,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:5DQtZx4cWbuNvHfsTQHcSL,711ef707eda94cefbc41e8131328282b,2023-02-06T04:54:25Z,1,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:5IQa3C87mUpZawAFAu5mdW,711ef707eda94cefbc41e8131328282b,2023-02-06T04:54:25Z,2,"Classic, great album",cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:6Mq51KY6EW0bQgI0QttAsS,711ef707eda94cefbc41e8131328282b,2023-02-06T04:54:25Z,3,What is this its sick,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:0F58GE2TtHBim5o4ZTQUwK,8bbea363ebd54d0a8515fe037421a5e3,2023-02-06T14:24:17Z,2,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:2YhCF84yVHcpwo9rkS5DJR,8bbea363ebd54d0a8515fe037421a5e3,2023-02-06T14:24:17Z,3,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:3GVhCuS4BRxCTvVj4Cmc8w,8bbea363ebd54d0a8515fe037421a5e3,2023-02-06T14:24:17Z,1,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:40c4Zo0r2HH9aKDgEsbsVA,8bbea363ebd54d0a8515fe037421a5e3,2023-02-06T14:24:17Z,2,,cfed0e4391784b5f858b1e81a8ff72b5
spotify:track:5DQtZx4cWbuNvHfsTQHcSL,8bbea363ebd54d0a8515fe037421a5e3,2023-02-06T14:24:17Z,1,,cfed0e4391784b5f858b1e81a8ff72b5
