Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0cSHwOT52MqxCehoxDsGGb,b0415b544bb44324a6afca46625ea1a7,2022-09-20T13:57:19Z,1,"I was figuring there'd be orchestral works, and this one was nice and different.",d91688d218684b0b82e1578d9c2c562a
spotify:track:1TQ6a2NEA8LmKfgf0yeBvT,b0415b544bb44324a6afca46625ea1a7,2022-09-20T13:57:19Z,2,Be sure to apply it to your neck and hands as well... Folks tend to forget those areas!,d91688d218684b0b82e1578d9c2c562a
spotify:track:26nEbd5S5IG0nvcAPXFoOn,b0415b544bb44324a6afca46625ea1a7,2022-09-20T13:57:19Z,1,I figured there'd be something... 'church'-like. I liked the layering on this song.,d91688d218684b0b82e1578d9c2c562a
spotify:track:2cu8WtQZdxGe3lbetlzeNe,b0415b544bb44324a6afca46625ea1a7,2022-09-20T13:57:19Z,4,"This album was one of the soundtracks to my childhood. I've listened soooooo many times, and it's such a great complete work. IMO it's Sting's greatest album, and I always appreciate when an artist makes a concept album (especially one as esoteric as this) as opposed to just a collection of songs. This stuff used to be way more common before singles and collabs came to dominate the industry.",d91688d218684b0b82e1578d9c2c562a
spotify:track:31LKL7XfxR1PTm6Or9KTKv,b0415b544bb44324a6afca46625ea1a7,2022-09-20T13:57:19Z,2,"I'm a sucker for a good arpeggio as the backbone of a song, and this one is pretty great. Plus the layering on top complements the whole thing. Great pick!",d91688d218684b0b82e1578d9c2c562a
spotify:track:0bSdrKJYKmPVLxwFGAmvwx,aedc4565fdc141dab917c4e1ce203306,2022-09-21T00:01:31Z,3,"Oooo. Very cool song. Love the melody. It feels like rock, but it has a deep softness to it so that you wanna both rock out and feel the lyrics. And the story evolves the longer it goes. ",d91688d218684b0b82e1578d9c2c562a
spotify:track:0cSHwOT52MqxCehoxDsGGb,aedc4565fdc141dab917c4e1ce203306,2022-09-21T00:01:31Z,0,"I get more of a background music vibe from this song.
I can't really pull much meaning from a song without lyrics. So this one misses the mark for me.",d91688d218684b0b82e1578d9c2c562a
spotify:track:1IRRqn75jaZHp7zMT1NGbZ,aedc4565fdc141dab917c4e1ce203306,2022-09-21T00:01:31Z,0,Sorry. I really don't like this song. It starts out very slow to me and I just find myself frustrated by the time the lyrics kick in.,d91688d218684b0b82e1578d9c2c562a
spotify:track:26nEbd5S5IG0nvcAPXFoOn,aedc4565fdc141dab917c4e1ce203306,2022-09-21T00:01:31Z,0,"It sounded cool. But as I couldn't understand what they were saying, I didn't really get the meaning. ",d91688d218684b0b82e1578d9c2c562a
spotify:track:2cu8WtQZdxGe3lbetlzeNe,aedc4565fdc141dab917c4e1ce203306,2022-09-21T00:01:31Z,0,"Not feeling this song. A lot of imagery going rappid fire. So you almost have to listen again to pick up on it all. 
I think he touches on some profound imagery. But I'm not a fan of Sting. I like very few of his songs. Very love him or hate him with me.",d91688d218684b0b82e1578d9c2c562a
spotify:track:31LKL7XfxR1PTm6Or9KTKv,aedc4565fdc141dab917c4e1ce203306,2022-09-21T00:01:31Z,2,Ooooo. Very dreamlike and introspective.   I can see you wanting to envision your own movie that can evolve with each listen.,d91688d218684b0b82e1578d9c2c562a
spotify:track:5enxwA8aAbwZbf5qCHORXi,aedc4565fdc141dab917c4e1ce203306,2022-09-21T00:01:31Z,2,"Very pretty song. You can fit in a lot in 10 mins of course. So it allows you to tell not only a story, but also to give a perspective on her thoughts and feelings.",d91688d218684b0b82e1578d9c2c562a
spotify:track:6Ey4n9xdtS61rZRBy1LNzh,aedc4565fdc141dab917c4e1ce203306,2022-09-21T00:01:31Z,0,I struggled with this song. I didn't really follow it. And I didn't really dig their beat. I thought the best part of the song was the last 30 seconds when the music shifted. I wish the whole song was that way.,d91688d218684b0b82e1578d9c2c562a
spotify:track:6MUc3qu8WOqO7hAY6gdhJY,aedc4565fdc141dab917c4e1ce203306,2022-09-21T00:01:31Z,1,I get some Ozzy vibes here from his vpice at points. And that's lovely. Theres a powerful story here. ,d91688d218684b0b82e1578d9c2c562a
spotify:track:77Y57qRJBvkGCUw9qs0qMg,aedc4565fdc141dab917c4e1ce203306,2022-09-21T00:01:31Z,2,"Wow. I love the water analogies. The song really makes you reflect on family influences.
As someone with a horrible family, I have often reflected on how much like them I am. 
I'm not feeling the need to listen to it more for a deeper meaning though.",d91688d218684b0b82e1578d9c2c562a
spotify:track:0bSdrKJYKmPVLxwFGAmvwx,73a6a74b341d438a844c64841efaaa2a,2022-09-22T17:31:49Z,2,"Wasn't sure what this song would be and I enjoyed it quite a bit. Interesting things in it I noticed with the singers phrasing around the beat. A few times I felt he did what the singer of Cake does, rushing and dragging against the beat. I don't know the official terms. ",d91688d218684b0b82e1578d9c2c562a
spotify:track:0cSHwOT52MqxCehoxDsGGb,73a6a74b341d438a844c64841efaaa2a,2022-09-22T17:31:49Z,4,"I debated submitting instrumental, but shied away. I really like this. Makes me feel like I'm going on an adventure! Any music like this has me finding more and more in it. Whether it be the flutes, or just the way another note lands. Great pick. ",d91688d218684b0b82e1578d9c2c562a
spotify:track:1IRRqn75jaZHp7zMT1NGbZ,73a6a74b341d438a844c64841efaaa2a,2022-09-22T17:31:49Z,0,"Not a song for me. I can appreciate accapela and the skill stuff like this takes, but just not for my listening!",d91688d218684b0b82e1578d9c2c562a
spotify:track:1TQ6a2NEA8LmKfgf0yeBvT,73a6a74b341d438a844c64841efaaa2a,2022-09-22T17:31:49Z,2,"This is hilarious. I mean, how can you not find something each listen, when there is SO MUCH to hear? Also, he straight up talked to me way too many times... Gonna call a therapist now! ",d91688d218684b0b82e1578d9c2c562a
spotify:track:26nEbd5S5IG0nvcAPXFoOn,73a6a74b341d438a844c64841efaaa2a,2022-09-22T17:31:49Z,0,Not for me. This is the only song I couldn't get through. Definitely talented artists here and I can see repeat listening standing out in different ways. Just not for me! ,d91688d218684b0b82e1578d9c2c562a
spotify:track:2cu8WtQZdxGe3lbetlzeNe,73a6a74b341d438a844c64841efaaa2a,2022-09-22T17:31:49Z,0,So sting is a crazy person? I'm so confused. Not a fan of this one. ,d91688d218684b0b82e1578d9c2c562a
spotify:track:31LKL7XfxR1PTm6Or9KTKv,73a6a74b341d438a844c64841efaaa2a,2022-09-22T17:31:49Z,0,Odd song. I've noticed a trend of multiple vocalists several times now. Love the background effects. ,d91688d218684b0b82e1578d9c2c562a
spotify:track:5enxwA8aAbwZbf5qCHORXi,73a6a74b341d438a844c64841efaaa2a,2022-09-22T17:31:49Z,1,"*insert ""Taylor Swift song about a boyfriend"" joke here*

 My coworker is an annoying Taylor Swift fan. So I've heard this 649382728395758492 times. Definitely a lot to get through, and small hints and references to stuff. You can find a lot if you dig. Good pick for the topic! ",d91688d218684b0b82e1578d9c2c562a
spotify:track:6Ey4n9xdtS61rZRBy1LNzh,73a6a74b341d438a844c64841efaaa2a,2022-09-22T17:31:49Z,0,"Fun song, little weird, but not one I find myself wanting to listen again to find more. ",d91688d218684b0b82e1578d9c2c562a
spotify:track:77Y57qRJBvkGCUw9qs0qMg,73a6a74b341d438a844c64841efaaa2a,2022-09-22T17:31:49Z,1,"Some of the lyrics I could see missing at first. Some good lines, especially ""How much like my brothers, do my brothers want to be?"" Great line and easy to miss on casual listening. ",d91688d218684b0b82e1578d9c2c562a
spotify:track:0bSdrKJYKmPVLxwFGAmvwx,7fd5551b25eb400dae1b53c5620ce05d,2022-09-22T21:01:22Z,3,"Damn what an opener to this playlist. This is a perfect early 2000s pop rock wet dream. I loved every thing about this. Do I think it has a ton of depth? Not really. Sure as hell didn't need to be 7 minutes. It is a bit predictable in the peaks and valleys, but the song is great and the instrumentals are complex enough where I feel comfortable giving this a few points. Good ebb and flow of vocals. Great pick. Setting the bar high for whatever comes next.",d91688d218684b0b82e1578d9c2c562a
spotify:track:0cSHwOT52MqxCehoxDsGGb,7fd5551b25eb400dae1b53c5620ce05d,2022-09-22T21:01:22Z,0,Pretty beginning. I am a sucker for asian-influenced instrumentals....but...........where the vocals. There just wasn't enough depth in the instrumentals to outweigh the lack of lyrics. Cat got your tongue and the cat also has my points. None for you sorry :(,d91688d218684b0b82e1578d9c2c562a
spotify:track:1IRRqn75jaZHp7zMT1NGbZ,7fd5551b25eb400dae1b53c5620ce05d,2022-09-22T21:01:22Z,4,He is a brilliant pick as an artist since his songs always have a shit ton going on...maybe a bit too much at times (scowls at Vol 3 and the Grammys for nominating it for AOTY). The opening is great...but maybe a bit too long....no need to be 3 minutes for a damn intro. Plus the song is 8 MINUTES PEOPLE. Gonna start invoicing y'all for these long ass submissions. But wow once it started IT WAS A FUCKING TRIP of gloriousness. It is what I imagine listening to music on shrooms is like? Brilliant.,d91688d218684b0b82e1578d9c2c562a
spotify:track:1TQ6a2NEA8LmKfgf0yeBvT,7fd5551b25eb400dae1b53c5620ce05d,2022-09-22T21:01:22Z,0,So did my shrooms carry over from Jacob Collier into this Ted Talk of a song? I don't know how to feel about this. Do I think this fits the category? Yes. I listened to the lyrics multiple times cause there was so much to digest. Do I think this was a song? NO. There were garage band beats and vocals in the background. Do I think I enjoyed this? Not at all. If I give this a point am I saying it is 1/4 as good as Moon River when it is barely 1/100th as good? Ugh..........conundrum. ,d91688d218684b0b82e1578d9c2c562a
spotify:track:26nEbd5S5IG0nvcAPXFoOn,7fd5551b25eb400dae1b53c5620ce05d,2022-09-22T21:01:22Z,0,"Soooooooooo I feel like this song belongs in a different category for this league. Missed opportunity. I didn't find this super complex since it is just a traditional a cappella arrangement. I think this is pretty, but I don't find myself finding new things with each listen. I don't think ""oh look at that one mouth sound I didn't hear before among 1,000,000 other mouth sounds"" should count for points.",d91688d218684b0b82e1578d9c2c562a
spotify:track:2cu8WtQZdxGe3lbetlzeNe,7fd5551b25eb400dae1b53c5620ce05d,2022-09-22T21:01:22Z,0,I like the song. Sadly me liking it isn't enough for points this time. I didn't think it was too complex. Maybe I am missing the depth here? Maybe I'm the problem. Hmmmm.,d91688d218684b0b82e1578d9c2c562a
spotify:track:5enxwA8aAbwZbf5qCHORXi,7fd5551b25eb400dae1b53c5620ce05d,2022-09-22T21:01:22Z,0,"All Too Well **Was** one of my fav songs by her. This version yes builds on it, but ruins it a bit for me. It is FAR too god damn long. Like why we still shitting on Gyllenhaal 10 years later lol. Very high school of her. I don't think this song has enough complexity for this category when there are a few hard hitters. ",d91688d218684b0b82e1578d9c2c562a
