ID,Created,Name,Description,Playlist URL
8302ed3a03bb490394438b39c9e9a193,2022-08-23T17:24:45Z,Songs to survive against Vecna,Running up that hill auto-dq. What pulls you back into reality when someone is stealing your brain. ,https://open.spotify.com/playlist/35vJoMpon1RI4kr91LC4Fr
f51848117b964bcfb57179c0ddaa22ab,2022-09-11T21:02:58Z,Short ppl ,Song length in seconds cannot exceed your height in inches ,https://open.spotify.com/playlist/4GsqLGQ1MHtK9NTZSHJytr
05b6d0cf02444cc4b83f64a5689f8de0,2022-09-13T14:33:39Z,First Tanz,Something you would really enjoy having your first dance to or walking down the aisle. Courtesy of Diana McVeigh!,https://open.spotify.com/playlist/1V3uTsWd34ndYHjzPFgjEJ
665c53c60e094e4b83db401e8afbaa8e,2022-09-22T02:21:24Z,English DQ’d ,"Language required, English DQ’d! Courtesy of Teeny aka Michaela! ",https://open.spotify.com/playlist/4unVauQWwoe58QUHe5vSD6
4636572b37e84a2e96b2b33c70c78c10,2022-09-29T18:58:29Z,Songs you’d anonymously send to your enemy.,Your enemy could be the loud cars that drive down your street. Playground bully. Climate change. You choose.,https://open.spotify.com/playlist/2vYcjAIUNODT3m3lEo8PVD
737bbdc87b6b45ff9494f0d189d3b723,2022-10-06T19:12:03Z,A Capital Affair ,Songs that prominently feature capital cities of US states,https://open.spotify.com/playlist/6gDCaPg5m5XNT36CfPRmkr
8ccffe35a7bc44a18d6ff1173c68686c,2022-10-14T15:27:34Z,Favorite books ,"
Songs that evoke the feeling or sensation of your favorite or A favorite book. They absolutely don’t have to (and probably shouldn’t) reference the book directly. Put the name of the book in your comment when you submit! Style points for guessing what book inspired the song when you vote.",https://open.spotify.com/playlist/2Kl2jgqVYHeWdB2P9Bd9vZ
b05172fe847d4e39b4d5c6268cabeefa,2022-10-19T13:21:11Z,Spoooooooopy ,Not garbage Halloween songs! Nightmare before Xmas too easy/DQ. ,https://open.spotify.com/playlist/6rigwcoxC6AIjuozOjAP9B
234435bda7c946c6b994462632c02037,2022-10-27T03:22:04Z,Junior League ,Songs by artists under the age of 18. Rebecca Black dq. ,https://open.spotify.com/playlist/4mxfc5Ud67Mf5VhkKehTlA
ef0b76ecceac47c0bad210c41a7201bd,2022-11-04T01:07:41Z,To My Past Self,A song you want to play for an earlier version of your self. ,https://open.spotify.com/playlist/2a4wc3Qp68aRZeCoa02MuD
d2523f0faf674d538ef892a893b2791f,2022-11-12T02:25:43Z,Lost in the woods ,"
Lost in the Wilderness: The trail fades and soon disappears entirely leaving you disoriented with only a compass and a map. Choose a song that expresses the anxiety of being lost.",https://open.spotify.com/playlist/4pJy3C0UR1a6V60oyoSbNw
8d385e539ae14e77ad769c04f64a68cf,2022-11-23T13:47:38Z,Next Level Drums,Songs that prominently feature virtuosic percussion. NON CLASSICAL ARE YOU HAPPY JOHN ,https://open.spotify.com/playlist/7lyPNFiC7v74VRYP7oje4X
46aeaf8c686741508b52c7fdcb3ed351,2022-12-02T18:50:45Z,"From John: hit me with your top track of 2022. Reissues DQ’d, only songs that were released in 2022. ",,https://open.spotify.com/playlist/3a7H8fQU4Baxktz3lAlNdA
57dcc3c87942484996a168d4b4db722b,2022-12-12T01:31:01Z,Get the day pumpin ,Songs that pump you up in the morning / get your day going,https://open.spotify.com/playlist/3nm7JM4dJMLbGbp6xKsWzn
b6f46bb402eb4a5da15c7be6ee450edc,2022-12-15T16:37:56Z,"Holiday tracks, no Mariah and no gorbage","Of course you can submit Mariah, still only one rule. ",https://open.spotify.com/playlist/2nL2pKwEMhHhoFFs1kyaQY
e3e0628bca9d4c26aee5d5e404c3d953,2022-12-20T20:23:18Z,Outside the lines ,"Songs with a color in the title, from Michaela! ",https://open.spotify.com/playlist/4sPlQltVOPLbSCKq2BiXO1
84015a9c10c34281a693b0236fa35389,2022-12-21T15:29:10Z,Dixit! (From Katie),"Dixit Round! Check out the link below that has some abstract art. Find a song that fits the image (looking for vibes here):

https://l.facebook.com/l.php?u=https%3A%2F%2Fmir-s3-cdn-cf.behance.net%2Fproject_modules%2Fdisp%2Fcd9c5c15994439.5a871cc6143d9.jpg&h=AT1TrsrZXJfHvZ8zXFUFonEZeubhfOtM1pbjIVqro-7DEThe3so20PLnwj8nRJVGsetJxX5_b6y8tItBpFHqOyNbPQEkwJ1OF-CLXL3uNw4nbYRmGcSUxIxLaTIy_YOWdgSAtKUF-KPS&s=1",https://open.spotify.com/playlist/2R5A6Ec92wOvw32F9909yo
158d74e7ea7b44abbe93f640bd5d9cdc,2023-01-06T23:01:16Z,Deathbed songs- wrong answers only ,The last thing you want to hear before you shuffle off this mortal coil. ,https://open.spotify.com/playlist/6TQHR8trskcjyJ8rzVr7eN
fdab7748c7cc417887b6871698b94b20,2023-01-17T22:27:08Z,Melancholy ,Sad only ,https://open.spotify.com/playlist/1JxAleDxp6xKwPF45Kyk8B
33f94a9e1a2140ebb1073f4c2e9b9d4a,2023-01-18T18:22:30Z,Baby makin ,Or hopefully not let’s be honest ,https://open.spotify.com/playlist/5fRgRgHkfVzkiLFW3Fp4D8
e1c5c192624b4fd3828eb89125cf8aca,2023-02-01T18:35:05Z,Space pussy ,Can’t even remember what Brendan actually asked for. ,https://open.spotify.com/playlist/5ShAkdpvTuhrTxd6bzAZxj
58175aa8663c4197bcec59dc977fd70d,2023-02-03T12:34:48Z,Meowsers in trousers ,The theme song of your pet (or future pet). Tom Hooper Cats dq’d. ,https://open.spotify.com/playlist/0t9zfIMHOg9jkkq6bmxBFC
