Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:2TVxnKdb3tqe1nhQWwwZCO,187448cdb2e34e98a866035c77715e36,2023-03-03T01:57:34Z,0,This is my current ringtone therefore I do not listen to it ever ,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,187448cdb2e34e98a866035c77715e36,2023-03-03T01:57:34Z,0,I do think the other Whitney option is best but appreciate this too ,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,187448cdb2e34e98a866035c77715e36,2023-03-03T01:57:34Z,1,,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:7tFiyTwD0nx5a1eklYtX2J,187448cdb2e34e98a866035c77715e36,2023-03-03T01:57:34Z,2,Excellent choice ,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:6g3XrmNrWVa33dZuxIhMbF,187448cdb2e34e98a866035c77715e36,2023-03-03T01:57:34Z,2,Love this song ,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:4eHbdreAnSOrDDsFfc4Fpm,187448cdb2e34e98a866035c77715e36,2023-03-03T01:57:34Z,2,Classic ,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:3xrn9i8zhNZsTtcoWgQEAd,187448cdb2e34e98a866035c77715e36,2023-03-03T01:57:34Z,3,I used to to pretend I was auditioning for American idol in the shower with this song. This is amazing and I feel seen ,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:5EQzuYfTZt7B2LqlvTF49l,c75bd1cd8ea0402a91464e717c8e4fab,2023-03-03T02:07:44Z,1,,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:6g3XrmNrWVa33dZuxIhMbF,c75bd1cd8ea0402a91464e717c8e4fab,2023-03-03T02:07:44Z,1,,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:7tFiyTwD0nx5a1eklYtX2J,c75bd1cd8ea0402a91464e717c8e4fab,2023-03-03T02:07:44Z,1,,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:0Dw9z44gXhplDh5HCWZIxP,c75bd1cd8ea0402a91464e717c8e4fab,2023-03-03T02:07:44Z,2,I will always vote for my queen ,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,c75bd1cd8ea0402a91464e717c8e4fab,2023-03-03T02:07:44Z,1,I’m hate voting because now I have this in my head ,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,c75bd1cd8ea0402a91464e717c8e4fab,2023-03-03T02:07:44Z,2,I am going to sing this in the shower tomorrow now ,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:2TVxnKdb3tqe1nhQWwwZCO,c75bd1cd8ea0402a91464e717c8e4fab,2023-03-03T02:07:44Z,1,,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:4eHbdreAnSOrDDsFfc4Fpm,c75bd1cd8ea0402a91464e717c8e4fab,2023-03-03T02:07:44Z,1,,1b97c3c0a0864bfc8b56036c9b15def9
spotify:track:0Dw9z44gXhplDh5HCWZIxP,6ad77278d2ba48faa305e35450f0f39d,2023-03-03T02:17:16Z,1,,1b97c3c0a0864bfc8b56036c9b15def9
