ID,Created,Name,Description,Playlist URL
e660d2dc3314465ca2e1053557ec7c27,2023-09-04T21:26:24Z,Week 1: Build a Mascot Workshop,"For this round, imagine you're creating a new NFL team. Pick a theme song for this team, then in the comments tell us the team's name and mascot.",https://open.spotify.com/playlist/4L9FC0JehSF2cMZU61C6NZ
a87e9ba5c9f244a7906bcc22a23bdbcd,2023-09-04T21:26:24Z,Week 2: Waiver Wire,Select a song that represents the gamble/hope/tension/strategy/#yolo of picking someone up from the waiver wire.,https://open.spotify.com/playlist/5NVpy6r1pHUMGmekumDzTn
eaf409d7b72149e8b83d3081817af8c9,2023-09-04T21:26:24Z,Week 3: Teebow's Teebone,What's the song Timmy Teebees lost his V card to (hint: it was likely Christian rock),https://open.spotify.com/playlist/1hhtJRbxmCK1jteLBmUZi3
6c0214f4676645889673349b992c30c3,2023-09-04T21:26:24Z,Week 4: DRUG SCANDAL!!!,A player just had massive drug scandal.  What song was he listening to when the cops busted down his door.  Be sure to include in your comment what kind of drugs he was using.,https://open.spotify.com/playlist/7oNFrqsWOKaDAxrDaafrhC
9dd0e07d9bab4e47aeca45edec4382ee,2023-09-04T21:26:24Z,Week 5: Stat Nerd,"Pick a song that caters to the analytic side of fantasy football.

",https://open.spotify.com/playlist/27ZdQhwLw3ZrDsR97oZSh6
1b36861ecc1e44e98222ebe47a63af29,2023-09-04T21:26:24Z,Week 6: Carrie Underwood Retires Unexpectedly,"Congrats football fans, Carrie Underwood has unexpectedly quit singing Sunday Night Football and you need to cast the next superstar.  Submit their audition tape.",https://open.spotify.com/playlist/3KWDzRcEJ828a7B1j9EPyh
3bad542572ff425b838c6ff71948b705,2023-09-04T21:26:24Z,Week 7: Divorced from Reality,What's the first song you play after your wife divorces you for watching too much football.,https://open.spotify.com/playlist/4OgUmae45nmDWW6Bz5C4JF
ad7e92aaaaa545319d249b6932efc74c,2023-09-04T21:26:24Z,Bye Week: Relax,Submit the most relaxing song you can think of to bolster you through Bye Week. (Hint: think Yacht Rock),https://open.spotify.com/playlist/7yvkZL63nOP8fc0k26jYjR
db0a3af5f1034d13967918831e2743c3,2023-09-04T21:26:24Z,Week 9: Aaron Rodgers's Go-To Karaoke Song,Arod's hittin the clurb and sangin the kay.  What's his go-to karaoke track?,https://open.spotify.com/playlist/0BfyhDpalNGuDwE5hd5NLe
474dedf236ac4439b82253602cffb41a,2023-09-04T21:26:24Z,Week 10: Injury Blues,Share a song that encapsulates the feeling when your star player is out with an injury.,https://open.spotify.com/playlist/7zWadyIUteaClOA0HIVGxi
ebd98a6333aa476e8c2e4909a6f14325,2023-09-04T21:26:25Z,Week 11: Anthem for the Workin' Man,"Coors is casting their newest Superbowl commerical and they need you to come up with with the backing track for an ad campaign called ""Anthem for the Workin' Man.” Suggest a lead role for their commercial in the comments.",https://open.spotify.com/playlist/78PgEX2QuPr5kWufspcYBO
fc7bb527ef974f8ca02853885e3b30d3,2023-09-04T21:26:25Z,Week 12: Underdog Story,"Submit a song that embodies the spirit of a sleeper pick defying the odds.  If you're Ben Price or a Ben Price Doppleganger, tell us, in vivid detail, the actual Underdog Story. ",https://open.spotify.com/playlist/5sND1S8Muu5C3roYWr8WhR
e1b04cf2e7a34e2398c765bd6bef3f75,2023-09-04T21:26:25Z,Week 13: Collegiate Memories,"Submit a song whose title is a word or phrase found in lyrics of the Notre Dame Victory March: https://fightingirish.com/trads-nd-fightsong-html/

In the comments, tell us a story about something stupid you did in college while this song was playing (real or imagined).",https://open.spotify.com/playlist/0IPncp35Hcdr7apZUftNWz
7a2a50c7b35c473cb8651b48601a7ae8,2023-09-04T21:26:25Z,Week 14: Cut Out,The pain! The agony!  Tell us what it feels like when you don't make the playoffs.,https://open.spotify.com/playlist/46lcA5D08Cx22u4vTlU8l1
366217c0fd8644fdbd657a284a74e498,2023-09-04T21:26:25Z,Week 15: End Zone Dance,Choose a song that you think would be perfect for an end zone touchdown celebration for winning this league and tell us what you learned about yourself in the process.,https://open.spotify.com/playlist/22Qx7zaM1pT5mJkXiMFF1r
