Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:6KgBpzTuTRPebChN0VTyzV,6701e9b4fc4846608a803e96dafe6cb4,2023-02-09T23:19:16Z,3,,375545471cc34f328874f15651e6da0f
spotify:track:71LsKf3xISiOlY1mj7FFPP,6701e9b4fc4846608a803e96dafe6cb4,2023-02-09T23:19:16Z,1,,375545471cc34f328874f15651e6da0f
spotify:track:5haXbSJqjjM0TCJ5XkfEaC,6701e9b4fc4846608a803e96dafe6cb4,2023-02-09T23:19:16Z,3,,375545471cc34f328874f15651e6da0f
spotify:track:1Cv1YLb4q0RzL6pybtaMLo,6701e9b4fc4846608a803e96dafe6cb4,2023-02-09T23:19:16Z,2,,375545471cc34f328874f15651e6da0f
spotify:track:05wIrZSwuaVWhcv5FfqeH0,6701e9b4fc4846608a803e96dafe6cb4,2023-02-09T23:19:16Z,3,,375545471cc34f328874f15651e6da0f
spotify:track:5t9KYe0Fhd5cW6UYT4qP8f,a344c9073dab47aeb95e39398bcb04de,2023-02-09T23:19:50Z,3,,375545471cc34f328874f15651e6da0f
spotify:track:6KgBpzTuTRPebChN0VTyzV,a344c9073dab47aeb95e39398bcb04de,2023-02-09T23:19:50Z,2,,375545471cc34f328874f15651e6da0f
spotify:track:05wIrZSwuaVWhcv5FfqeH0,a344c9073dab47aeb95e39398bcb04de,2023-02-09T23:19:50Z,3,,375545471cc34f328874f15651e6da0f
spotify:track:0QHEIqNKsMoOY5urbzN48u,a344c9073dab47aeb95e39398bcb04de,2023-02-09T23:19:50Z,1,,375545471cc34f328874f15651e6da0f
spotify:track:34imI8Avs89nzId9aBp9rI,a344c9073dab47aeb95e39398bcb04de,2023-02-09T23:19:50Z,1,,375545471cc34f328874f15651e6da0f
spotify:track:5haXbSJqjjM0TCJ5XkfEaC,a344c9073dab47aeb95e39398bcb04de,2023-02-09T23:19:50Z,2,,375545471cc34f328874f15651e6da0f
spotify:track:0XXgkLA2n6wpTlMG3V3VDm,cb2efab300e444e590420c27c6131562,2023-02-10T13:29:10Z,1,,375545471cc34f328874f15651e6da0f
spotify:track:05wIrZSwuaVWhcv5FfqeH0,cb2efab300e444e590420c27c6131562,2023-02-10T13:29:10Z,2,,375545471cc34f328874f15651e6da0f
